Condition,Parameters,Num. Replicas,math_verify_score,Num. Parameters
Perturbed,62M,0,0.0,62000000.0
Perturbed,344M,0,0.0,344000000.0
Perturbed,153M,3,0.0,153000000.0
Perturbed,62M,100,0.014256619144602852,62000000.0
Perturbed,153M,1000,0.01855623444218149,153000000.0
Perturbed,34M,0,0.0,34000000.0
Perturbed,62M,10,0.0,62000000.0
Perturbed,153M,316,0.02149807648789319,153000000.0
Perturbed,344M,32,0.017424756732292372,344000000.0
Perturbed,62M,32,0.004073319755600814,62000000.0
Original,34M,0,0.0,34000000.0
Original,34M,1,0.0,34000000.0
Original,34M,3,0.0,34000000.0
Original,34M,10,0.0005998800239952,34000000.0
Original,34M,32,0.0055988802239552,34000000.0
Original,34M,100,0.016996600679864,34000000.0
Original,34M,316,0.0721855628874225,34000000.0
Original,62M,0,0.0,62000000.0
Original,62M,1,0.0001999600079984,62000000.0
Original,62M,3,0.0007998400319936,62000000.0
Original,62M,10,0.0,62000000.0
Original,62M,32,0.0065986802639472,62000000.0
Original,62M,100,0.0729854029194161,62000000.0
Original,62M,316,0.7978404319136173,62000000.0
Original,93M,0,0.0,93000000.0
Original,93M,1,0.0,93000000.0
Original,93M,3,0.0001999600079984,93000000.0
Original,93M,10,0.0001999600079984,93000000.0
Original,93M,32,0.0141971605678864,93000000.0
Original,93M,100,0.3725254949010197,93000000.0
Original,93M,316,0.9856028794241152,93000000.0
Original,93M,1000,0.9978004399120176,93000000.0
Original,153M,0,0.0,153000000.0
Original,153M,1,0.0001999600079984,153000000.0
Original,153M,3,0.0003999200159968,153000000.0
Original,153M,10,0.0007998400319936,153000000.0
Original,153M,32,0.0201959608078384,153000000.0
Original,153M,316,0.9984003199360127,153000000.0
Original,153M,1000,0.9984003199360127,153000000.0
Original,153M,100,0.8074385122975405,153000000.0
Original,344M,3,0.0005998800239952,344000000.0
Original,344M,10,0.0025994801039792,344000000.0
Original,344M,32,0.1255748850229954,344000000.0
Original,344M,100,0.9896020795840832,344000000.0
Original,344M,1000,0.9984003199360127,344000000.0
Original,344M,3162,0.9984003199360127,344000000.0
Original,344M,1,0.0003999200159968,344000000.0
Original,344M,316,0.9984003199360127,344000000.0
Original,344M,0,0.0,344000000.0
