protocol,sweep,run_id,Model,Parameters,Num. Replicas,Overtrain Multiplier,Temp.,n_problems,math_verify_score,n_rescored,n_score_exceptions,logged_score,strict_score,boxed_rate
4-shot,qx2c4702,nvfl9cbf,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,34M,316,1.0,0.0,5001,0.005998800239952,5001,0,0.00599880023995201,0.00599880023995201,0.5198960207958409
4-shot,dkiui6we,ezh98p5z,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,62M,0,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,dkiui6we,brt4fkbb,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,62M,1,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0001999600079984003
4-shot,dkiui6we,hp1088ag,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,62M,3,1.0,0.0,5001,0.0015996800639872,5001,0,0.0015996800639872025,0.0015996800639872025,0.11097780443911218
4-shot,dkiui6we,iwwlj8ug,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,62M,10,1.0,0.0,5001,0.0007998400319936,5001,0,0.0007998400319936012,0.0007998400319936012,0.038592281543691265
4-shot,dkiui6we,gpgtcec5,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,62M,32,1.0,0.0,5001,0.000999800039992,5001,0,0.0009998000399920016,0.0009998000399920016,0.33213357328534293
4-shot,dkiui6we,jzqnwuit,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,62M,100,1.0,0.0,5001,0.0061987602479504,5001,0,0.0061987602479504095,0.0061987602479504095,0.6482703459308138
4-shot,dkiui6we,hqseauvt,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,62M,316,1.0,0.0,5001,0.005998800239952,5001,0,0.00599880023995201,0.00599880023995201,0.6594681063787242
4-shot,cx8y41bw,492evotv,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,93M,0,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,cx8y41bw,wtfxqh5j,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,93M,1,1.0,0.0,5001,0.0001999600079984,5001,0,0.0001999600079984003,0.0001999600079984003,0.0631873625274945
4-shot,cx8y41bw,bvmztk5l,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,93M,3,1.0,0.0,5001,0.0053989202159568,5001,0,0.005398920215956809,0.005398920215956809,0.5998800239952009
4-shot,cx8y41bw,af4xkwn3,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,93M,10,1.0,0.0,5001,0.0053989202159568,5001,0,0.005398920215956809,0.005398920215956809,0.526494701059788
4-shot,cx8y41bw,gd78rq01,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,93M,32,1.0,0.0,5001,0.0051989602079584,5001,0,0.005198960207958408,0.005198960207958408,0.5684863027394521
4-shot,cx8y41bw,h8r60oku,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,93M,100,1.0,0.0,5001,0.0035992801439712,5001,0,0.003599280143971206,0.003599280143971206,0.6954609078184363
4-shot,cx8y41bw,cqx6lcs4,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,93M,316,1.0,0.0,5001,0.0053989202159568,5001,0,0.005398920215956809,0.005398920215956809,0.42911417716456707
4-shot,cx8y41bw,jyco3jac,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,93M,1000,1.0,0.0,5001,0.0051989602079584,5001,0,0.005198960207958408,0.005198960207958408,0.5068986202759448
4-shot,4w5x8hez,czdnhrm4,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,153M,0,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,4w5x8hez,08lgcuxw,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,153M,1,1.0,0.0,5001,0.000999800039992,5001,0,0.0009998000399920016,0.0009998000399920016,0.11737652469506099
4-shot,4w5x8hez,gd5bguur,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,153M,3,1.0,0.0,5001,0.001999600079984,5001,0,0.001999600079984003,0.001999600079984003,0.275744851029794
4-shot,4w5x8hez,4hm3z044,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,153M,10,1.0,0.0,5001,0.008998200359928,5001,0,0.008998200359928014,0.008998200359928014,0.5764847030593881
4-shot,4w5x8hez,ah5tgh7l,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,153M,32,1.0,0.0,5001,0.0091981603679264,5001,0,0.009198160367926415,0.009198160367926415,0.823635272945411
4-shot,4w5x8hez,gp83vvb6,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,153M,100,1.0,0.0,5001,0.0111977604479104,5001,0,0.011197760447910418,0.011197760447910418,0.886622675464907
4-shot,4w5x8hez,98wtt8zm,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,153M,316,1.0,0.0,5001,0.0077984403119376,5001,0,0.007798440311937612,0.007798440311937612,0.6028794241151769
4-shot,4w5x8hez,gqlfp4a7,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,153M,1000,1.0,0.0,5001,0.0087982403519296,5001,0,0.008798240351929614,0.008798240351929614,0.6068786242751449
4-shot,mprek7pj,uuli6cbt,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1,344M,0,1.0,0.0,5001,0.0,5001,0,0.0,0.0,0.0
4-shot,mprek7pj,nxv6vyso,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1,344M,1,1.0,0.0,5001,0.0011997600479904,5001,0,0.0011997600479904018,0.0011997600479904018,0.2531493701259748
4-shot,mprek7pj,mt5inbd0,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1,344M,3,1.0,0.0,5001,0.0025994801039792,5001,0,0.002599480103979204,0.002599480103979204,0.24235152969406118
4-shot,mprek7pj,4ser4zca,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1,344M,10,1.0,0.0,5001,0.002999400119976,5001,0,0.002999400119976005,0.002999400119976005,0.21155768846230755
4-shot,mprek7pj,y9bz5yiv,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1,344M,32,1.0,0.0,5001,0.0057988402319536,5001,0,0.0057988402319536095,0.0057988402319536095,0.5712857428514297
4-shot,mprek7pj,k2zgtf8o,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1,344M,100,1.0,0.0,5001,0.0073985202959408,5001,0,0.007398520295940812,0.007398520295940812,0.6596680663867227
4-shot,mprek7pj,msxk1e3o,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1,344M,316,1.0,0.0,5001,0.0065986802639472,5001,0,0.0065986802639472104,0.0065986802639472104,0.6202759448110378
4-shot,mprek7pj,m1l9g1hq,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1,344M,1000,1.0,0.0,5001,0.0103979204159168,5001,0,0.010397920415916816,0.010397920415916816,0.618876224755049
4-shot,mprek7pj,9sa3gfmo,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1,344M,3162,1.0,0.0,5001,0.0051989602079584,5001,0,0.005198960207958408,0.005198960207958408,0.5892821435712857
