Parameters,R,T,n,n_boxed,n_exc,logged,strict,run_id
344M,1000,0.93804187,5001,4948,0,0.873625274945011,0.8722255548890222,j5orif9w
344M,1000,1.0,5001,4836,0,0.727254549090182,0.7250549890021996,o08xuzrk
344M,1000,1.29154967,5001,660,0,0.0417916416716656,0.022995400919816,nf68ztl5
344M,1000,1.5,5001,5,0,0.01999600079984,0.0,eh3e9865
344M,3162,0.0,5001,5001,0,1.0,0.9984003199360127,1yml0np5
344M,3162,0.1,5001,5001,0,1.0,0.9984003199360127,dh8hn3as
344M,3162,0.1778,5001,5001,0,1.0,0.9984003199360127,nkcoi5dy
344M,3162,0.3162,5001,5001,0,1.0,0.9984003199360127,ki9k0ipd
344M,3162,0.5623,5001,5001,0,1.0,0.9984003199360127,10zpmtfd
344M,3162,0.75,5001,5001,0,0.9984003199360127,0.9966006798640272,jzv224tb
344M,3162,0.93804187,5001,4956,0,0.9082183563287344,0.9068186362727456,r9j1ynh5
344M,3162,1.0,5001,4661,0,0.669866026794641,0.6680663867226555,bvl778i1
344M,3162,1.29154967,5001,75,0,0.01999600079984,0.0041991601679664,4l19ixio
344M,3162,1.5,5001,0,0,0.011997600479904,0.0,kl6n601r
34M,0,0.0,5001,0,0,0.0037992401519696,0.0,85bd7akt
34M,0,0.1,5001,0,0,0.0041991601679664,0.0,8nrkq1cr
34M,0,0.1778,5001,0,0,0.0041991601679664,0.0,slwm9efe
34M,0,0.3162,5001,0,0,0.0025994801039792,0.0,7s9sjfwp
34M,0,0.5623,5001,0,0,0.0017996400719856,0.0,q6chng1h
34M,0,0.75,5001,0,0,0.003999200159968,0.0,dab9inux
34M,0,0.93804187,5001,0,0,0.0081983603279344,0.0,l7y253ps
34M,0,1.0,5001,0,0,0.013997200559888,0.0,9w95kzro
34M,0,1.29154967,5001,0,0,0.0227954409118176,0.0,b26a037f
34M,0,1.5,5001,0,0,0.0,0.0,k9izxwui
34M,1,0.0,5001,0,0,0.0021995600879824,0.0,pxpuuqno
34M,1,0.1,5001,0,0,0.0017996400719856,0.0,bzrerq1z
34M,1,0.1778,5001,0,0,0.0023995200959808,0.0,hpz7huy0
34M,1,0.3162,5001,11,0,0.0017996400719856,0.0,dlpv92vh
34M,1,0.5623,5001,38,0,0.0021995600879824,0.0,85kacuse
34M,1,0.75,5001,12,0,0.0035992801439712,0.0,tfkvnusd
