Parameters,Num. Replicas,Temp.,math_verify_score,run_id
93M,0,1.2915,0.01839632073585283,qztiihul
93M,0,1.5,0.02559488102379524,llxmtn0c
93M,1,0.75,0.011197760447910418,ris60eos
93M,1,0.938,0.01219756048790242,s6jqdupb
93M,1,1.2915,0.009598080383923215,71txekyr
93M,1,1.5,0.02579484103179364,tgdcz218
93M,3,0.75,0.014997000599880024,4ccogw6v
93M,3,0.938,0.011797640471905619,0yfqc1vk
93M,3,1.2915,0.011597680463907219,d8yq5u02
93M,3,1.5,0.01839632073585283,138r7ucs
93M,10,0.75,0.014397120575884824,cjzidpq3
93M,10,0.938,0.01219756048790242,vr98j628
93M,10,1.2915,0.015796840631873626,oxaj5zvp
93M,10,1.5,0.003999200159968006,e2dviaza
93M,32,0.75,0.01779644071185763,qewb07y0
93M,32,0.938,0.01199760047990402,va5cwhtt
93M,32,1.2915,0.01199760047990402,4o16jwpp
93M,32,1.5,0.002999400119976005,bafjccsf
93M,100,0.75,0.11697660467906419,xinmwo9f
93M,100,0.938,0.025994801039792043,lr7xz32a
93M,100,1.2915,0.01859628074385123,l73ij6dq
93M,100,1.5,0.020995800839832032,7irnrlw9
93M,316,0.75,0.6530693861227754,c20yy9s2
93M,316,0.938,0.15376924615076984,eu0f9344
93M,316,1.2915,0.015396920615876825,pzh5upni
93M,316,1.5,0.00639872025594881,vjh7alxa
93M,1000,0.75,0.860627874425115,qizm9xdw
93M,1000,0.938,0.28654269146170763,mujtq4cc
93M,1000,1.2915,0.018196360727854428,zi8s5vjt
93M,1000,1.5,0.004199160167966407,42lytpl8
93M,0,0.938,0.007398520295940812,2y8u5xet
153M,0,0.0,0.011797640471905619,c9boww7q
153M,0,0.1,0.01279744051189762,r09k0cto
153M,0,0.1778,0.012397520495900819,ebm3kzag
153M,0,0.3162,0.012997400519896021,an5ca2zl
153M,0,0.5623,0.009798040391921616,cjhajlhh
153M,0,1.0,0.009398120375924815,f6vj4l0s
153M,1,0.0,0.01739652069586083,ionurkem
153M,1,0.1,0.015996800639872025,b7m6v56q
153M,1,0.1778,0.016796640671865627,8zuomkrk
153M,1,0.3162,0.01759648070385923,mxhviuyb
153M,1,0.5623,0.015796840631873626,uaxy6f0q
153M,1,1.0,0.010397920415916816,tvkz37cy
153M,3,0.0,0.018196360727854428,h1eof0ky
153M,3,0.1,0.01919616076784643,xgl3msv1
153M,3,0.1778,0.01739652069586083,edmkroro
153M,3,0.3162,0.01759648070385923,t38odhq2
153M,3,0.5623,0.015996800639872025,hyma7ge0
153M,3,1.0,0.012997400519896021,f8wjalzy
153M,10,0.0,0.01779644071185763,fvzsslld
153M,10,0.1,0.016996600679864027,fdazbbcg
153M,10,0.1778,0.01899620075984803,xc90mg6w
153M,10,0.3162,0.01739652069586083,p9ywfc40
153M,10,0.5623,0.016796640671865627,3vuulmga
153M,10,1.0,0.009598080383923215,lz70ycgv
153M,32,0.0,0.02499500099980004,4lmh2rch
153M,32,0.1,0.02519496100779844,uegv0r0n
153M,32,0.1778,0.027994401119776045,2qhb7eqe
153M,32,0.3162,0.021395720855828835,w2urc26b
153M,32,0.5623,0.02439512097580484,gu559vfh
153M,32,1.0,0.015996800639872025,sdac0ks7
153M,316,0.0,1.0,xqe689gl
153M,316,0.1,1.0,if411o20
153M,316,0.1778,1.0,rg6x6g6t
153M,316,0.3162,1.0,obimwje4
153M,316,0.5623,0.9852029594081184,tbo9i212
153M,316,1.0,0.2513497300539892,nkqjmbs5
153M,1000,0.0,1.0,kfeppd27
153M,1000,0.1,1.0,bz06nqby
153M,1000,0.1778,1.0,17v3yln2
153M,1000,0.3162,1.0,rphugyns
153M,1000,0.5623,0.9984003199360127,8066suhc
153M,1000,1.0,0.27854429114177165,w1qu60ql
153M,100,0.0,0.8088382323535293,k9wg5tyo
153M,100,0.1,0.8084383123375325,ex1f7py9
153M,100,0.1778,0.8000399920015997,wigyqe4w
153M,100,0.3162,0.7636472705458909,wcsdse2y
153M,100,0.5623,0.5734853029394121,oq1rnzof
153M,100,1.0,0.05298940211957608,f5w9ytz2
153M,0,1.2915,0.011597680463907219,en90bqd9
153M,10,0.75,0.014797040591881624,6rdkus8a
153M,10,0.938,0.009598080383923215,883675c7
153M,10,1.2915,0.009398120375924815,ncoyxbw9
153M,32,0.938,0.017196560687862426,nsz2tnt8
153M,32,1.2915,0.014397120575884824,oemc71e3
153M,32,1.5,0.01999600079984003,soqi8mg3
153M,100,0.75,0.32893421315736854,ls7qqhyk
153M,100,0.938,0.09498100379924015,j8mohi01
153M,100,1.2915,0.013397320535892822,afk3dzsu
153M,100,1.5,0.02499500099980004,gjbouxb3
153M,316,0.75,0.8612277544491101,ftfwzvxr
153M,316,0.938,0.4351129774045191,0lq644rb
153M,316,1.2915,0.020995800839832032,5ntvbaqr
153M,316,1.5,0.01199760047990402,99m3pp93
153M,1000,0.75,0.9286142771445711,fnxlj914
153M,1000,0.938,0.5450909818036392,twabzp89
153M,1000,1.2915,0.015396920615876825,7hlm3q4n
153M,1000,1.5,0.010597880423915218,go9sziun
153M,0,0.75,0.007598480303939212,hnx3cjmi
153M,0,0.938,0.009998000399920015,6eu6h6lb
153M,0,1.5,0.010597880423915218,jqfa9jee
153M,1,0.75,0.012397520495900819,zz19rknf
153M,1,0.938,0.014397120575884824,e8ruh303
153M,1,1.2915,0.011397720455908818,3h1lqdch
153M,1,1.5,0.02579484103179364,tjqbltuu
153M,3,0.75,0.013797240551889621,f67idqdj
153M,3,0.938,0.012397520495900819,0ny9cxwf
153M,3,1.2915,0.019596080783843232,q0zxcr6z
153M,3,1.5,0.0011997600479904018,0qv9iq66
153M,10,1.5,0.022395520895820836,itwttof9
153M,32,0.75,0.01779644071185763,6dled82d
344M,1,0.1,0.015796840631873626,60e0cjjy
344M,1,0.1778,0.014597080583883223,3x3rglz3
344M,1,0.3162,0.013397320535892822,6qnd8i83
344M,1,0.5623,0.01839632073585283,laoopxzv
344M,1,0.75,0.013797240551889621,8n70fz1j
344M,1,0.938,0.01279744051189762,3lkxv7an
344M,1,1.0,0.010797840431913617,2ukse903
344M,1,1.2915,0.01879624075184963,4dwu1gpi
344M,1,1.5,0.010997800439912017,00d3dsng
344M,3,0.0,0.015396920615876825,tkxvhxgf
344M,3,0.1,0.016796640671865627,5u15kanm
344M,3,0.1778,0.016796640671865627,3jplpj8q
344M,3,0.3162,0.013597280543891222,jr0d6o4w
344M,3,0.5623,0.015196960607878424,v4q22jhm
344M,3,0.75,0.013597280543891222,6jc8ia8j
344M,3,0.938,0.011197760447910418,uc9mmoc0
344M,3,1.0,0.01219756048790242,cifzzwgi
344M,3,1.2915,0.019396120775844832,pv5btg0p
344M,3,1.5,0.021595680863827234,zonxxkyn
344M,10,0.0,0.021795640871825634,r0m0b7k1
344M,10,0.1,0.019596080783843232,hrjkxhjs
344M,10,0.1778,0.021995600879824034,jovy0x1k
344M,10,0.3162,0.021995600879824034,hdzq9yrw
