Parameters,Num. Replicas,Temp.,math_verify_score,run_id,greedy_score,relative_score,baseline_score,advantage
93M,1000,1.0,0.1121775644871025,2bay3c7n,0.9994001199760048,0.1122448979591836,0.011997600479904,0.1001799640071985
93M,0,0.75,0.0063987202559488,p0ipzcs8,0.0073985202959408,,0.0063987202559488,0.0
93M,0,1.2915,0.0183963207358528,qztiihul,0.0073985202959408,,0.0183963207358528,0.0
93M,0,1.5,0.0255948810237952,llxmtn0c,0.0073985202959408,,0.0255948810237952,0.0
93M,1,0.75,0.0111977604479104,ris60eos,0.0131973605278944,,0.0063987202559488,0.004799040191961601
93M,1,0.938,0.0121975604879024,s6jqdupb,0.0131973605278944,,0.0073985202959408,0.0047990401919616
93M,1,1.2915,0.0095980803839232,71txekyr,0.0131973605278944,,0.0183963207358528,-0.008798240351929599
93M,1,1.5,0.0257948410317936,tgdcz218,0.0131973605278944,,0.0255948810237952,0.00019996000799840305
93M,3,0.75,0.01499700059988,4ccogw6v,0.0141971605678864,,0.0063987202559488,0.0085982803439312
93M,3,0.938,0.0117976404719056,0yfqc1vk,0.0141971605678864,,0.0073985202959408,0.0043991201759647994
93M,3,1.2915,0.0115976804639072,d8yq5u02,0.0141971605678864,,0.0183963207358528,-0.0067986402719456
93M,3,1.5,0.0183963207358528,138r7ucs,0.0141971605678864,,0.0255948810237952,-0.007198560287942399
93M,10,0.75,0.0143971205758848,cjzidpq3,0.0175964807038592,,0.0063987202559488,0.007998400319936
93M,10,0.938,0.0121975604879024,vr98j628,0.0175964807038592,,0.0073985202959408,0.0047990401919616
93M,10,1.2915,0.0157968406318736,oxaj5zvp,0.0175964807038592,,0.0183963207358528,-0.002599480103979198
93M,10,1.5,0.003999200159968,e2dviaza,0.0175964807038592,,0.0255948810237952,-0.021595680863827196
93M,32,0.75,0.0177964407118576,qewb07y0,0.0253949210157968,,0.0063987202559488,0.0113977204559088
93M,32,0.938,0.011997600479904,va5cwhtt,0.0253949210157968,,0.0073985202959408,0.004599080183963201
93M,32,1.2915,0.011997600479904,4o16jwpp,0.0253949210157968,,0.0183963207358528,-0.006398720255948799
93M,32,1.5,0.002999400119976,bafjccsf,0.0253949210157968,,0.0255948810237952,-0.022595480903819198
93M,100,0.75,0.1169766046790641,xinmwo9f,0.3729254149170166,0.3136729222520105,0.0063987202559488,0.1105778844231153
93M,100,0.938,0.025994801039792,lr7xz32a,0.3729254149170166,0.06970509383378005,0.0073985202959408,0.018596280743851203
93M,100,1.2915,0.0185962807438512,l73ij6dq,0.3729254149170166,0.049865951742627264,0.0183963207358528,0.00019996000799839958
93M,100,1.5,0.020995800839832,7irnrlw9,0.3729254149170166,0.05630026809651466,0.0255948810237952,-0.004599080183963197
93M,316,0.75,0.6530693861227754,c20yy9s2,0.9872025594881024,0.661535345351428,0.0063987202559488,0.6466706658668266
93M,316,0.938,0.1537692461507698,eu0f9344,0.9872025594881024,0.15576260887178445,0.0073985202959408,0.14637072585482902
93M,316,1.2915,0.0153969206158768,pzh5upni,0.9872025594881024,0.01559651610289647,0.0183963207358528,-0.002999400119975999
93M,316,1.5,0.0063987202559488,vjh7alxa,0.9872025594881024,0.006481669029775156,0.0255948810237952,-0.019196160767846398
93M,1000,0.75,0.860627874425115,qizm9xdw,0.9994001199760048,0.8611444577831133,0.0063987202559488,0.8542291541691662
93M,1000,0.938,0.2865426914617076,mujtq4cc,0.9994001199760048,0.2867146858743497,0.0073985202959408,0.2791441711657668
93M,1000,1.2915,0.0181963607278544,zi8s5vjt,0.9994001199760048,0.018207282913165236,0.0183963207358528,-0.00019996000799839958
93M,1000,1.5,0.0041991601679664,42lytpl8,0.9994001199760048,0.004201680672268901,0.0255948810237952,-0.021395720855828797
93M,0,0.938,0.0073985202959408,2y8u5xet,0.0073985202959408,,0.0073985202959408,0.0
