run_id,stage,Model,Temp.,n_samples,boxed_rate,math_verify_score,empty_rate,mean_response_chars,Parameters,Num. Replicas,Overtrain Multiplier,is_sft
p47sf02g,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.5890821835632873,0.007998400319936013,0.0001999600079984003,1795.0167966406718,153M,100,1.0,True
3gqu30oi,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.08318336332733453,0.0011997600479904018,0.0,2587.5524895020994,153M,316,1.0,True
38tcksqj,sft,RylanSchaeffer/mem_Qwen3-153M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.05398920215956809,0.0005998800239952009,0.0001999600079984003,2691.7994401119777,153M,1000,1.0,True
pcub76ar,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.09658068386322735,0.0013997200559888023,0.0,3340.896220755849,344M,0,1.0,True
85tjbc9r,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.16056788642271547,0.0009998000399920016,0.0,2556.046190761848,344M,1,1.0,True
66lqmlpj,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.27134573085382924,0.0011997600479904018,0.0,3013.9370125974806,344M,3,1.0,True
jeavrks8,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.1895620875824835,0.0011997600479904018,0.0,2615.7994401119777,344M,10,1.0,True
0g2dd3ne,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.4389122175564887,0.002599480103979204,0.0,2106.4513097380523,344M,32,1.0,True
ojy6yih5,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.6760647870425914,0.007598480303939212,0.0001999600079984003,1125.863627274545,344M,100,1.0,True
osqxfcxb,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.13897220555888823,0.0015996800639872025,0.0,3923.738052389522,344M,316,1.0,True
r2cx1nn1,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.276744651069786,0.002999400119976005,0.0,2040.8364327134573,344M,1000,1.0,True
s0tkmgrz,sft,RylanSchaeffer/mem_Qwen3-344M_minerva_math_rep_3162_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.15656868626274745,0.001999600079984003,0.0001999600079984003,2159.0369926014796,344M,3162,1.0,True
4eplata5,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.0,2080.2987402519498,34M,0,1.0,True
ogghbkit,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.005398920215956809,2085.3173365326934,34M,1,1.0,True
hjcly0x3,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.0,2466.366926614677,34M,3,1.0,True
nsjlw6q9,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0011997600479904018,0.0,0.004999000199960008,3821.4775044991,34M,10,1.0,True
q2mao69l,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.09778044391121776,0.0023995200959808036,0.002999400119976005,2607.2103579284144,34M,32,1.0,True
jd9ummnd,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.22375524895020996,0.002999400119976005,0.0,703.4041191761647,34M,100,1.0,True
9g8xkfh2,sft,RylanSchaeffer/mem_Qwen3-34M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.3695260947810438,0.004199160167966407,0.0,497.46690661867626,34M,316,1.0,True
3m6vj025,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.0,4114.363127374525,62M,0,1.0,True
b0zckuz8,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.05718856228754249,0.0003999200159968006,0.0009998000399920016,3530.631673665267,62M,1,1.0,True
it3zhqkk,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.17636472705458908,0.0011997600479904018,0.0,3364.2973405318935,62M,3,1.0,True
9zjc1ba5,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.03099380123975205,0.0001999600079984003,0.0,3335.405918816237,62M,10,1.0,True
1yrlb0gp,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.33813237352529496,0.0011997600479904018,0.0,1728.9060187962407,62M,32,1.0,True
qumz48tj,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.2485502899420116,0.0021995600879824036,0.0,1492.1697660467908,62M,100,1.0,True
cxu0yyhp,sft,RylanSchaeffer/mem_Qwen3-62M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.2349530093981204,0.001999600079984003,0.0,331.1799640071986,62M,316,1.0,True
wpwo3psw,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_0_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.0,0.0,0.0,4612.81523695261,93M,0,1.0,True
wydj08dw,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.03799240151969606,0.0005998800239952009,0.0,4544.787842431514,93M,1,1.0,True
bhpv7ci3,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_3_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.1819636072785443,0.0023995200959808036,0.0,3477.476704659068,93M,3,1.0,True
da13cu0k,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_10_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.03679264147170566,0.0003999200159968006,0.0,3338.0249950009998,93M,10,1.0,True
roicl6do,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_32_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.2505498900219956,0.001999600079984003,0.0,3199.4257148570287,93M,32,1.0,True
zkd4a6ff,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_100_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.42191561687662466,0.003799240151969606,0.0,1738.2975404919016,93M,100,1.0,True
jpvxl6v2,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_316_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.07918416316736653,0.0007998400319936012,0.0,2665.6494701059787,93M,316,1.0,True
za189qrk,sft,RylanSchaeffer/mem_Qwen3-93M_minerva_math_rep_1000_sbst_1.0000_epch_1_ot_1_sft,0.0,5001,0.11017796440711858,0.0015996800639872025,0.0,372.16956608678265,93M,1000,1.0,True
