run_id,problem_id,Parameters,Num. Parameters,Num. MATH Test Set Replicas,Stage,Per-Problem Mean NLL
3bj3ojqn,log_prob_token_119,153M,153000000.0,10,Post-SFT,1.7214184628527982
3bj3ojqn,log_prob_token_120,153M,153000000.0,10,Post-SFT,1.7432470501080333
3bj3ojqn,log_prob_token_121,153M,153000000.0,10,Post-SFT,1.7825909870882075
3bj3ojqn,log_prob_token_122,153M,153000000.0,10,Post-SFT,1.79778051081206
3bj3ojqn,log_prob_token_123,153M,153000000.0,10,Post-SFT,1.7225348285737905
3bj3ojqn,log_prob_token_124,153M,153000000.0,10,Post-SFT,1.7116547570654295
3bj3ojqn,log_prob_token_125,153M,153000000.0,10,Post-SFT,1.756711006832997
3bj3ojqn,log_prob_token_126,153M,153000000.0,10,Post-SFT,1.7793449752071988
3bj3ojqn,log_prob_token_127,153M,153000000.0,10,Post-SFT,1.6909904796103594
3bj3ojqn,log_prob_token_128,153M,153000000.0,10,Post-SFT,1.7164787145607279
3bj3ojqn,log_prob_token_129,153M,153000000.0,10,Post-SFT,1.7040759681485929
3bj3ojqn,log_prob_token_130,153M,153000000.0,10,Post-SFT,1.75748073196461
3bj3ojqn,log_prob_token_131,153M,153000000.0,10,Post-SFT,1.7344725516125516
3bj3ojqn,log_prob_token_132,153M,153000000.0,10,Post-SFT,1.7935050490197606
3bj3ojqn,log_prob_token_133,153M,153000000.0,10,Post-SFT,1.7382657656193925
3bj3ojqn,log_prob_token_134,153M,153000000.0,10,Post-SFT,1.7457143625236615
3bj3ojqn,log_prob_token_135,153M,153000000.0,10,Post-SFT,1.7464612556431907
3bj3ojqn,log_prob_token_136,153M,153000000.0,10,Post-SFT,1.7366031369642172
3bj3ojqn,log_prob_token_137,153M,153000000.0,10,Post-SFT,1.7521711084548008
3bj3ojqn,log_prob_token_138,153M,153000000.0,10,Post-SFT,1.856503026690426
3bj3ojqn,log_prob_token_139,153M,153000000.0,10,Post-SFT,1.7742849730209769
3bj3ojqn,log_prob_token_140,153M,153000000.0,10,Post-SFT,1.8126713241105443
3bj3ojqn,log_prob_token_141,153M,153000000.0,10,Post-SFT,1.776792047705894
3bj3ojqn,log_prob_token_142,153M,153000000.0,10,Post-SFT,1.7628791315509629
3bj3ojqn,log_prob_token_143,153M,153000000.0,10,Post-SFT,1.7122217116477116
3bj3ojqn,log_prob_token_144,153M,153000000.0,10,Post-SFT,1.7911800690071944
3bj3ojqn,log_prob_token_145,153M,153000000.0,10,Post-SFT,1.754485602729433
3bj3ojqn,log_prob_token_146,153M,153000000.0,10,Post-SFT,1.6791173243960416
3bj3ojqn,log_prob_token_147,153M,153000000.0,10,Post-SFT,1.7203638387847358
3bj3ojqn,log_prob_token_148,153M,153000000.0,10,Post-SFT,1.7248054100020733
3bj3ojqn,log_prob_token_149,153M,153000000.0,10,Post-SFT,1.6592444766758252
3bj3ojqn,log_prob_token_150,153M,153000000.0,10,Post-SFT,1.629381065552208
3bj3ojqn,log_prob_token_151,153M,153000000.0,10,Post-SFT,1.735349515228921
3bj3ojqn,log_prob_token_152,153M,153000000.0,10,Post-SFT,1.6825099465520716
3bj3ojqn,log_prob_token_153,153M,153000000.0,10,Post-SFT,1.781717436173187
3bj3ojqn,log_prob_token_154,153M,153000000.0,10,Post-SFT,1.761047635495167
3bj3ojqn,log_prob_token_155,153M,153000000.0,10,Post-SFT,1.7459234577813976
3bj3ojqn,log_prob_token_156,153M,153000000.0,10,Post-SFT,1.6947367907420028
3bj3ojqn,log_prob_token_157,153M,153000000.0,10,Post-SFT,1.7051804682804628
3bj3ojqn,log_prob_token_158,153M,153000000.0,10,Post-SFT,1.6737946085595623
3bj3ojqn,log_prob_token_159,153M,153000000.0,10,Post-SFT,1.704511431953505
3bj3ojqn,log_prob_token_160,153M,153000000.0,10,Post-SFT,1.7545976108866557
3bj3ojqn,log_prob_token_161,153M,153000000.0,10,Post-SFT,1.6802190042542917
3bj3ojqn,log_prob_token_162,153M,153000000.0,10,Post-SFT,1.6371499402276404
3bj3ojqn,log_prob_token_163,153M,153000000.0,10,Post-SFT,1.6873700492828823
3bj3ojqn,log_prob_token_164,153M,153000000.0,10,Post-SFT,1.747640139595695
3bj3ojqn,log_prob_token_165,153M,153000000.0,10,Post-SFT,1.6948488671827246
3bj3ojqn,log_prob_token_166,153M,153000000.0,10,Post-SFT,1.696645890300866
3bj3ojqn,log_prob_token_167,153M,153000000.0,10,Post-SFT,1.7709414379159503
3bj3ojqn,log_prob_token_168,153M,153000000.0,10,Post-SFT,1.6864686820410257
3bj3ojqn,log_prob_token_169,153M,153000000.0,10,Post-SFT,1.6314932216177935
3bj3ojqn,log_prob_token_170,153M,153000000.0,10,Post-SFT,1.6913617051293701
